Nombre, Rating, Country, Body, Day, Year, Size
Flor de las Antillas Toro,96,Nicaragua,Medium-Full,CA • January 1, 2013,Corona Gorda,
Cohiba 1966 Edición Limitada 2011,95,Cuba,Medium,CA • January 1, 2013,Corona Gorda,
Romeo by Romeo Y Julieta Piramide,94,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
Padrón Family Reserve 85 Years Natural,94,Nicaragua,Medium,CA • January 1, 2013,Robusto,
Arturo Fuente Rosado Sungrown Magnum R Vitola "Forty-Four",94,Dominican Republic,Medium,CA • January 1, 2013,Robusto,
H. Upmann Royal Robusto,94,Cuba,Medium,CA • January 1, 2013,Robusto,
Ashton Heritage Puro Sol Belicoso No. 2,94,Dominican Republic,Mild-Medium,CA • January 1, 2013,Figurado,
Rocky Patel Fifty Robusto,93,Nicaragua,Medium-Full,CA • January 1, 2013,Corona Gorda,
Tatuaje Cojonu 2012 Sumatra,93,Nicaragua,Medium-Full,CA • January 1, 2013,Corona Gorda,
Nat Sherman Timeless Collection No. 2,93,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
Kristoff Corojo Limitada Torpedo,93,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
La Flor Dominicana Cameroon Cabinet Chisel,93,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
Partagas Serie E No. 2,93,Cuba,Medium,CA • January 1, 2013,Corona Gorda,
El Baton Belicoso,93,Nicaragua,Medium,CA • January 1, 2013,Figurado,
H. Upmann 1844 Reserve Belicoso,93,Dominican Republic,,CA • January 1, 2013,Figurado,
Bolivar Belicoso Fino,93,Cuba,,CA • January 1, 2013,Figurado,
Camacho Liberty 2012,92,Honduras,Medium,CA • January 1, 2013,Figurado,
Oliva Serie V Belicoso,92,Nicaragua,Full,CA • January 1, 2013,Figurado,
La Palina El Diario K B,92,Honduras,Full,CA • January 1, 2013,Petit Corona,
Punch Gran Puro Santa Rita,91,Honduras,,CA • January 1, 2013,Robusto,
Alec Bradley Fine and Rare,91,Honduras,Medium-Full,CA • January 1, 2013,Corona Gorda,
E.P. Carrillo Elencos Series Don Rubino,91,Dominican Republic,Medium-Full,CA • January 1, 2013,Robusto,
Macanudo Crü Royale Poco Gordo,91,Dominican Republic,Medium,CA • January 1, 2013,Odd,
Headley Grange Estupendo,91,Dominican Republic,Medium-Full,CA • January 1, 2013,Corona Gorda,
San Lotano Oval Corona,91,Nicaragua,Medium-Full,CA • January 1, 2013,Corona,
Montecristo No. 2,96,Cuba,,CA • January 1, 2014,Figurado,
Aging Room Quattro F55 Concerto,95,Dominican Republic,Medium-Full,CA • January 1, 2013,Churchill,
Davidoff Nicaragua Toro,95,Dominican Republic,Medium,CA • January 1, 2013,Corona Gorda,
Padrón 1964 Anniversary Series Maduro Diplomatico,94,Nicaragua,Medium,CA • January 1, 2013,Churchill,
Cohiba Behike BHK 54,94,Cuba,Medium-Full,CA • January 1, 2014,Corona Gorda,
Arturo Fuente Don Carlos No. 2,94,Dominican Republic,Medium,CA • January 1, 2013,Figurado,
Buenaventura BV560,94,Nicaragua,,CA • January 1, 2014,Corona Gorda,
Herrera Esteli Piramide Fino,94,Nicaragua,Medium,CA • January 1, 2014,Figurado,
Gurkha 125th Anniversary XO,94,Dominican Republic,,CA • January 1, 2014,Grande,
Ashton Virgin Sun Grown Spellbound,94,Dominican Republic,Medium,CA • January 1, 2014,Double Corona,
Oliva Serie O Churchill,94,Nicaragua,Medium-Full,CA • January 1, 2013,Churchill,
L'Atelier LAT56,94,Nicaragua,Medium,CA • January 1, 2014,Corona Gorda,
Fuente Fuente OpusX Super Belicoso,94,Dominican Republic,Full,CA • January 1, 2013,Figurado,
La Flor Dominicana Oro Chisel,94,Dominican Republic,,CA • January 1, 2014,Figurado,
Fernando León Family Reserve Belicoso,94,Dominican Republic,,CA • January 1, 2014,Figurado,
Asylum Premium 2012 Vintage 44x4,94,Nicaragua,Full,CA • January 1, 2014,Odd,
La Aroma de Cuba Mi Amor Reserva Maximo,94,Nicaragua,Medium,CA • January 1, 2014,Corona Gorda,
Rocky Patel 15th Anniversary Robusto,93,Nicaragua,Medium-Full,CA • January 1, 2014,Robusto,
My Father Le Bijou 1922 Torpedo Box Pressed,93,Nicaragua,,CA • January 1, 2014,Figurado,
Nat Sherman Timeless Collection Divino,93,Dominican Republic,Medium-Full,CA • January 1, 2014,Figurado,
Bolivar Royal Corona,93,Cuba,Medium-Full,CA • January 1, 2014,Robusto,
La Palina Classic Toro,93,Dominican Republic,,CA • January 1, 2014,Corona Gorda,
Casa Magna Colorado Extraordinario,93,Nicaragua,,CA • January 1, 2014,Figurado,
Alec Bradley Prensado Robusto,92,Honduras,Medium-Full,CA • January 1, 2014,Robusto,
Romeo by Romeo Y Julieta Toro en Tubo,92,Dominican Republic,Medium-Full,CA • January 1, 2014,Corona Gorda,
Oliva Serie V Melanio Figurado,96,Nicaragua,,CA • January 1, 2015,Figurado,
E.P. Carrillo La Historia E-III,95,Dominican Republic,,CA • January 1, 2015,Churchill,
Illusione Fume d'Amour Clementes,95,Nicaragua,,CA • January 1, 2015,Corona Gorda,
Hoyo de Monterrey Epicure Especial (Tubo),94,Cuba,Medium,CA • January 1, 2015,Corona Gorda,
Rocky Patel Royale Toro,94,Nicaragua,,CA • January 1, 2015,Corona Gorda,
Fuente Fuente OpusX PerfecXion X,94,Dominican Republic,,CA • January 1, 2015,Corona Gorda,
Padrón Family Reserve 50 Years Maduro,94,Nicaragua,,CA • January 1, 2015,Robusto,
Ashton Estate Sun Grown 22-Year Salute,93,Dominican Republic,,CA • January 1, 2015,Figurado,
Monte by Montecristo Jacopo No. 2,93,Dominican Republic,,CA • January 1, 2015,Figurado,
A. Flores 1975 Serie Privada Capa Habano SP 52,93,Dominican Republic,,CA • January 1, 2015,Robusto,
Cohiba Esplendido,93,Cuba,,CA • January 1, 2015,Churchill,
Padilla Reserva Toro,93,Nicaragua,,CA • January 1, 2015,Corona Gorda,
Te-Amo Revolution Robusto Ovalado,92,Mexico,,CA • January 1, 2015,Robusto,
Diamond Crown Julius Caeser Robusto,92,Dominican Republic,,CA • January 1, 2015,Robusto,
Montecristo Double Edmundo,92,Cuba,,CA • January 1, 2015,Corona Gorda,
Alec Bradley Mundial No. 5,92,Honduras,,CA • January 1, 2015,Figurado,
My Father No. 3 Crema,92,Nicaragua,,CA • January 1, 2015,Corona Gorda,
San Cristobal Revelation Legend,92,Nicaragua,,CA • January 1, 2015,Corona Gorda,
Matilde Renacer Corona,92,Dominican Republic,,CA • January 1, 2015,Corona,
Liga Privada No. 9 Belicoso Oscuro,91,Nicaragua,,CA • January 1, 2015,Figurado,
Davidoff Nicaragua Robusto,91,Dominican Republic,,CA • January 1, 2015,Robusto,
La Gloria Cubana Serie R Esteli No. 54,91,Nicaragua,,CA • January 1, 2015,Corona Gorda,
Litto Gomez Diez Lancero,91,Dominican Republic,,CA • January 1, 2015,Panetela,
Nat Sherman Timeless Collection Churchill,91,Dominican Republic,,CA • January 1, 2015,Churchill,
Tatuaje Havana VI Artistas,91,Nicaragua,,CA • January 1, 2015,Figurado,
My Father Le Bijou 1922 Torpedo Box Pressed,97,Nicaragua,Medium-Full,CA • January 1, 2016,Figurado,
Ramon Allones Specially Selected,96,Cuba,Medium-Full,CA • January 1, 2016,Robusto,
CAO Flathead V660 Carb,95,Nicaragua,Full,CA • January 1, 2016,Grande,
Arturo Fuente Don Carlos Belicoso,94,Dominican Republic,Medium,CA • January 1, 2016,Figurado,
Padrón Family Reserve 50 Years Natural,94,Nicaragua,Medium,CA • January 1, 2016,Robusto,
Illusione Ultra Op. No. 9,94,Nicaragua,Medium-Full,CA • January 1, 2016,Corona Gorda,
The Edge Habano Torpedo,94,Nicaragua,Full,CA • January 1, 2016,Figurado,
Ashton Symmetry Robusto,94,Dominican Republic,Medium-Full,CA • January 1, 2016,Robusto,
Bolivar Belicoso Fino,94,Cuba,Full,CA • January 1, 2016,Figurado,
Liga Privada No. 9 Corona Doble,94,Nicaragua,Full,CA • January 1, 2016,Churchill,
Hammer + Sickle Tradición Serie Churchill,94,Dominican Republic,Mild-Medium,CA • January 1, 2016,Churchill,
La Bohéme Pittore,94,Dominican Republic,Medium,CA • January 1, 2016,Robusto,
Laranja Reserva Toro,94,Nicaragua,Medium-Full,CA • January 1, 2016,Corona Gorda,
Trinidad Vigía,94,Cuba,Medium-Full,CA • January 1, 2016,Odd,
Alec Bradley Sanctum Toro,93,Honduras,Mild-Medium,CA • January 1, 2016,Corona Gorda,
Avo Syncro Nicaragua Toro,93,Dominican Republic,Medium,CA • January 1, 2016,Corona Gorda,
La Mission du L'Atelier 1959,93,Nicaragua,Medium-Full,CA • January 1, 2016,Robusto,
Heritage By Dunhill Robusto,93,Honduras,Medium,CA • January 1, 2016,Robusto,
The King Is Dead The Last Payday,93,Dominican Republic,Medium,CA • January 1, 2016,Figurado,
Espada by Montecristo Quillon,92,Nicaragua,Medium-Full,CA • January 1, 2016,Churchill,
Nat Sherman Timeless Collection Nicaragua 652T,92,Nicaragua,Medium-Full,CA • January 1, 2016,Figurado,
Padilla Miami 8&11 Torpedo,92,U.S.A.,Medium-Full,CA • January 1, 2016,Figurado,
Nub Cameroon 358,92,Nicaragua,Medium-Full,CA • January 1, 2016,Odd,
La Flor Dominicana Coronado Corona Especial,92,Dominican Republic,Full,CA • January 1, 2016,Corona Gorda,
Sublimes Robusto Extra,92,Nicaragua,Medium,CA • January 1, 2016,Robusto,
La Flor Dominicana Andalusian Bull,96,Dominican Republic,Full,CA • January 1, 2017,Figurado,
Rocky Patel Sun Grown Maduro Robusto,95,Nicaragua,Full,CA • January 1, 2017,Robusto,
Partagás Serie E No. 2,94,Cuba,Medium-Full,CA • January 1, 2017,Corona Gorda,
E.P. Carrillo Selección Oscuro Piramides Royal,94,Dominican Republic,Medium-Full,CA • January 1, 2017,Figurado,
Padrón Serie 1926 No. 90,94,Nicaragua,Medium-Full,CA • January 1, 2017,Corona Gorda,
Arturo Fuente Rosado Sungrown Magnum R Vitola "Forty-Four",94,Dominican Republic,Medium-Full,CA • January 1, 2017,Robusto,
Norteño Robusto Grande,94,Nicaragua,Medium,CA • January 1, 2017,Corona Gorda,
Oliva Serie V Melanio Robusto,94,Nicaragua,Medium,CA • January 1, 2017,Robusto,
Hoyo de Monterrey Epicure No. 2,93,Cuba,Medium,CA • January 1, 2017,Robusto,
Punch Gran Puro Santa Rita,93,Honduras,Medium,CA • January 1, 2017,Robusto,
Casa Fernandez Miami Aganorsa Leaf Maduro Robusto Extra,93,U.S.A.,Medium-Full,CA • January 1, 2017,Robusto,
Casa Turrent Serie 1901 Robusto,93,Mexico,Medium-Full,CA • January 1, 2017,Robusto,
La Aroma de Cuba Mi Amor Belicoso,93,Nicaragua,Medium-Full,CA • January 1, 2017,Figurado,
Aging Room Small Batch M356ii Mezzo,93,Dominican Republic,Medium-Full,CA • January 1, 2017,Corona Gorda,
CroMagnon Anthropology,93,Nicaragua,Full,CA • January 1, 2017,Corona Gorda,
El Centurion H-2K-CT Toro Box Pressed,93,Nicaragua,Medium-Full,CA • January 1, 2017,Corona Gorda,
Brick House Corona Larga,93,Nicaragua,Medium-Full,CA • January 1, 2017,Corona Gorda,
Alec Bradley Coyol Petit Lancero,93,Honduras,Medium-Full,CA • January 1, 2017,Lonsdale,
Cohiba Siglo VI (Tubo),93,Cuba,Medium,CA • January 1, 2017,Corona Gorda,
Enclave Churchill,92,Nicaragua,Medium-Full,CA • January 1, 2017,Churchill,
Villiger San'Doro Colorado Robusto,92,Nicaragua,Medium-Full,CA • January 1, 2017,Robusto,
Henry Clay Stalk Cut Toro,92,Dominican Republic,Medium-Full,CA • January 1, 2017,Corona Gorda,
Casa Cuba Doble Cinco,92,Dominican Republic,Medium,CA • January 1, 2017,Robusto,
Illusione mk,92,Nicaragua,Medium-Full,CA • January 1, 2017,Corona,
El Güegüense Corona Gorda,92,Nicaragua,Medium-Full,CA • January 1, 2017,Corona Gorda,
Arturo Fuente Don Carlos Eye of the Shark,97,Dominican Republic,Medium-Full,CA • January 1, 2018,Figurado,
Padrón Serie 1926 No. 2,96,Nicaragua,Medium-Full,CA • January 1, 2018,Figurado,
Oliva Serie V Belicoso,95,Nicaragua,Medium-Full,CA • January 1, 2018,Figurado,
Bolivar Belicoso Fino,94,Cuba,Medium-Full,CA • January 1, 2018,Figurado,
Alec Bradley Tempus Natural Centuria,94,Honduras,Medium,CA • January 1, 2018,Churchill,
Ashton Symmetry Belicoso,94,Dominican Republic,Medium-Full,CA • January 1, 2018,Figurado,
My Father The Judge Grand Robusto,93,Nicaragua,Medium-Full,CA • January 1, 2018,Grande,
Guardian of the Farm Apollo Selección de Warped,93,Nicaragua,Medium,CA • January 1, 2018,Corona,
Plasencia Alma Fuerte Generacion V,93,Nicaragua,Medium-Full,CA • January 1, 2018,Figurado,
Villiger La Flor de Ynclan Robusto,93,Dominican Republic,Medium-Full,CA • January 1, 2018,Robusto,
Partagás Lusitania,93,Cuba,Medium,CA • January 1, 2018,Double Corona,
New World Puro Especial Toro,93,Nicaragua,Medium-Full,CA • January 1, 2018,Corona Gorda,
Archetype Axis Mundi Toro,93,Nicaragua,Medium-Full,CA • January 1, 2018,Corona Gorda,
601 Red Label Habano Torpedo,93,Nicaragua,Medium-Full,CA • January 1, 2018,Figurado,
Romeo by Romeo y Julieta Aging Room Small Batch F25 Cantaor,93,Dominican Republic,Medium-Full,CA • January 1, 2018,Figurado,
Rocky Patel Vintage 2003 Cameroon Churchill,92,Honduras,Medium,CA • January 1, 2018,Churchill,
CLE Prieto 50x5,92,Nicaragua,Medium-Full,CA • January 1, 2018,Robusto,
E.P. Carrillo Dusk Solidos,92,Dominican Republic,Medium-Full,CA • January 1, 2018,Grande,
Romeo y Julieta Short Churchill,92,Cuba,Medium,CA • January 1, 2018,Robusto,
Macanudo Inspirado Orange Churchill,92,Honduras,Medium-Full,CA • January 1, 2018,Churchill,
Regius Exclusivo U.S.A. Pressed Perfecto,92,Nicaragua,Medium,CA • January 1, 2018,Figurado,
Joya Black Nocturno,91,Nicaragua,Medium,CA • January 1, 2018,Corona Gorda,
La Flor Dominicana Double Ligero Lancero,91,Dominican Republic,Full,CA • January 1, 2018,Panetela,
Tatuaje Cabinet Noellas,91,U.S.A.,Medium-Full,CA • January 1, 2018,Petit Corona,
Undercrown Churchill,91,Nicaragua,Medium-Full,CA • January 1, 2018,Churchill,
